#{"t_start": 1745003421.7714872, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
480.0,1873,5117.543694
790.0,3129,5125.382529
1420.0,2801,5132.405677
780.0,2305,5138.179416
460.0,2121,5143.56937
680.0,2073,5148.826421
950.0,2881,5156.197535
1380.0,3809,5166.004599
950.0,2841,5173.324852
2230.0,3289,5181.6979
720.0,2081,5187.087039
470.0,1689,5191.371176
490.0,1817,5195.887829
980.0,3585,5205.01109
1190.0,3089,5212.834907
470.0,1985,5217.862205
930.0,2553,5224.32064
1130.0,2937,5231.728224
460.0,2033,5236.92426
350.0,1681,5241.159628
650.0,1937,5246.111358
1430.0,2945,5253.602349
1120.0,3345,5261.968111
800.0,3209,5270.138113
320.0,1697,5274.424148
1220.0,2961,5282.001743
850.0,2673,5288.779885
1770.0,3393,5297.448806
1420.0,2697,5304.239011
1160.0,3713,5313.703192
1630.0,4105,5324.150233
630.0,2009,5329.241304
990.0,2697,5336.059634
590.0,1905,5340.835269
380.0,1385,5344.326673
1520.0,3161,5352.323665
790.0,2873,5359.788651
950.0,3081,5367.615419
1200.0,3209,5375.888572
980.0,2465,5382.104815
1150.0,3193,5390.190572
1330.0,3017,5397.868604
890.0,2777,5404.9396
950.0,4961,5417.563248
2060.0,3273,5425.809637
1110.0,3361,5434.241379
360.0,1817,5438.739387
1190.0,2961,5446.272158
1200.0,2361,5452.209046
360.0,1481,5455.972317
1360.0,3049,5463.67791
1460.0,2969,5471.151185
1980.0,3769,5480.859523
1430.0,2961,5488.296535
910.0,2785,5495.271825
530.0,2497,5501.611087
960.0,3913,5511.453915
660.0,2161,5516.849228
870.0,2241,5522.436681
1020.0,3345,5530.9009
500.0,1985,5536.008994
1620.0,4345,5547.034554
490.0,1969,5551.947695
410.0,1857,5556.534107
740.0,2185,5562.118678
1040.0,3345,5570.535031
2020.0,2801,5577.711731
1310.0,3129,5585.659214
1530.0,2809,5592.926828
770.0,2489,5599.292288
620.0,2105,5604.548855
400.0,1457,5608.189098
560.0,1857,5612.859477
740.0,2753,5619.697381
970.0,2841,5626.844772
560.0,2129,5632.162015
520.0,2641,5638.927312
1290.0,2953,5646.292105
570.0,2177,5651.804468
1240.0,2657,5658.608418
940.0,3201,5666.832642
760.0,2113,5672.161649
420.0,1681,5676.398797
860.0,2705,5683.235269
550.0,1737,5687.563026
290.0,1441,5691.213151
850.0,2729,5698.147612
1100.0,2769,5705.276431
430.0,1881,5710.070487
560.0,2265,5715.816153
880.0,2481,5722.126149
410.0,1809,5726.646274
510.0,1761,5731.047927
570.0,2177,5736.524141
480.0,1649,5740.672923
800.0,2505,5747.069062
510.0,1841,5751.787348
860.0,2969,5759.280669
980.0,3081,5767.22937
1070.0,2305,5773.021093
1460.0,2977,5780.53104
1040.0,2921,5788.034292
160.0,1193,5790.982604
710.0,2713,5797.998503
430.0,1577,5801.935633
880.0,3233,5810.127536
1000.0,3065,5817.884349
810.0,2801,5824.977566
980.0,3401,5833.580449
530.0,2345,5839.541839
770.0,2233,5845.175154
850.0,2897,5852.528844
1350.0,4073,5862.926094
1200.0,3753,5872.351984
1700.0,3161,5880.456087
1520.0,3185,5888.528801
580.0,1969,5893.656325
730.0,2585,5900.163375
1950.0,3697,5909.672561
1000.0,2737,5916.580575
360.0,2417,5922.741567
1330.0,3193,5930.851667
740.0,3425,5939.534623
630.0,2513,5946.069191
2050.0,3529,5954.961528
460.0,1593,5958.950089
640.0,2945,5966.527441
520.0,1865,5971.245005
1300.0,2897,5978.430905
1060.0,2873,5985.645135
1260.0,3393,5994.289674
490.0,1841,5999.026034
750.0,2537,6005.429805
860.0,2953,6012.851672
480.0,1777,6017.353062
1360.0,2969,6024.860568
1090.0,2721,6031.73284
1760.0,3497,6040.564956
1050.0,3065,6048.333714
1220.0,4145,6058.824407
1270.0,3097,6066.612892
710.0,2369,6072.507277
680.0,2321,6078.388726
700.0,2145,6083.817509
1230.0,3433,6092.417006
1260.0,3081,6100.144288
890.0,2705,6107.009482
2870.0,4449,6118.186798
1140.0,3897,6128.019153
1010.0,2793,6135.062736
1830.0,2937,6142.403165
890.0,3113,6150.355188
700.0,2993,6157.86805
810.0,2969,6165.418427
580.0,2081,6170.682902
740.0,4273,6181.428198
1540.0,2777,6188.427465
930.0,2257,6194.105153
1260.0,3385,6202.640241
730.0,3833,6212.386985
780.0,2937,6219.98884
1130.0,2673,6226.760001
620.0,1833,6231.420003
630.0,2713,6238.155781
950.0,3281,6246.512591
810.0,2961,6253.871422
570.0,2273,6259.557384
840.0,2801,6266.573076
940.0,3193,6274.619958
720.0,2017,6279.691614
470.0,1521,6283.488609
940.0,3025,6291.044688
1430.0,3161,6299.137084
1140.0,2641,6305.834723
800.0,2713,6312.758962
700.0,2073,6318.077847
720.0,3249,6326.309092
1120.0,3785,6335.852269
430.0,1809,6340.443938
510.0,2305,6346.228089
400.0,1393,6349.695166
620.0,2337,6355.658031
840.0,2513,6361.944887
580.0,3273,6370.252167
830.0,2353,6376.256001
760.0,3825,6386.098758
1790.0,4393,6397.139709
1440.0,3065,6404.887607
760.0,3617,6414.026318
380.0,2385,6419.950143
440.0,3329,6428.329545
640.0,2913,6435.609363
420.0,2193,6441.142654
930.0,2121,6446.559094
1100.0,3257,6454.879997
300.0,1313,6458.102027
470.0,2057,6463.274581
940.0,4249,6474.027408
760.0,2217,6479.627355
460.0,1881,6484.346004
1000.0,2769,6491.403465
970.0,3281,6499.71426
620.0,2593,6506.27413
1000.0,3457,6515.062196
650.0,3073,6522.838088
590.0,2865,6530.000823
660.0,3329,6538.386359
530.0,2049,6543.488537
870.0,4041,6553.686391
680.0,2001,6558.707906
300.0,1537,6562.623803
210.0,1497,6566.3534
240.0,1665,6570.564154
300.0,1753,6574.964497
480.0,1569,6578.950366
790.0,2537,6585.313291
340.0,1489,6589.090751
1510.0,2897,6596.401797
460.0,2289,6602.228359
590.0,2249,6607.981331
1820.0,2665,6614.579461
1140.0,4217,6625.213792
1430.0,3073,6633.134909
320.0,1809,6637.654214
480.0,2225,6643.30077
420.0,2553,6649.734918
830.0,4049,6659.974337
630.0,2873,6667.064699
1120.0,2929,6674.451684
700.0,2713,6681.330702
720.0,3017,6688.999056
500.0,2337,6694.873438
1000.0,2601,6701.443454
970.0,3001,6708.988869
660.0,2441,6715.260813
1230.0,3545,6724.279121
1930.0,2905,6731.494942
