#{"t_start": 1744843828.1221945, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
220.0,1305,1116.127271
800.0,2465,1118.23027
1120.0,2521,1120.45127
600.0,1905,1121.789272
480.0,1985,1123.495271
650.0,2553,1125.390271
450.0,2593,1127.872272
240.0,1761,1129.216273
710.0,2609,1131.397271
600.0,2193,1133.022271
680.0,2977,1135.717271
510.0,2689,1137.895274
420.0,2097,1139.327271
420.0,1625,1140.734271
790.0,2393,1142.405271
820.0,1929,1144.14527
470.0,2129,1145.682274
720.0,2489,1147.774273
420.0,1761,1148.95327
840.0,3601,1152.086271
300.0,1697,1153.770271
1080.0,2449,1155.374271
570.0,2465,1157.47327
680.0,1985,1159.19827
450.0,1977,1161.163271
630.0,2481,1162.822272
1350.0,3017,1165.212272
290.0,1889,1166.47327
430.0,2233,1168.497936
480.0,2977,1171.111938
400.0,2041,1172.597937
480.0,1601,1174.072939
430.0,2345,1175.674917
910.0,2833,1177.956916
300.0,1585,1179.118914
500.0,2465,1181.171916
570.0,2225,1182.665477
340.0,1889,1184.514502
640.0,2609,1186.616467
480.0,1785,1188.513465
400.0,2281,1190.366465
760.0,2393,1192.606467
630.0,2865,1195.119443
750.0,2329,1196.686469
310.0,2409,1198.865435
580.0,2017,1200.209431
430.0,1633,1201.625425
400.0,1849,1202.953426
670.0,2257,1204.963425
210.0,1505,1206.108425
310.0,1737,1207.412425
450.0,1785,1209.091426
260.0,1633,1210.195428
1120.0,2169,1212.109428
680.0,2993,1214.725424
520.0,2297,1216.276425
380.0,1649,1217.812425
360.0,1921,1219.122426
370.0,1825,1220.417425
700.0,2329,1222.314425
510.0,2313,1224.359426
300.0,1505,1225.620424
530.0,2689,1227.818424
800.0,2425,1229.613425
390.0,1809,1231.362694
690.0,3761,1234.533693
480.0,2513,1236.280697
710.0,3193,1239.080693
640.0,3089,1241.618693
720.0,2425,1243.335693
2420.0,3393,1246.452691
1980.0,2713,1249.068704
240.0,1241,1249.929705
350.0,1537,1250.991704
370.0,1553,1252.409703
550.0,2033,1253.803706
960.0,2713,1255.979702
680.0,2201,1257.647703
370.0,1729,1259.259704
600.0,2649,1261.043705
690.0,2433,1263.107704
1290.0,3169,1266.088704
530.0,2825,1268.553705
440.0,1881,1269.906706
1100.0,2889,1272.353704
320.0,1489,1273.466703
370.0,1633,1274.715703
520.0,2121,1276.931702
670.0,2849,1279.636703
380.0,1801,1280.889704
340.0,1953,1282.544703
510.0,1913,1283.832706
590.0,3329,1286.536704
450.0,1913,1288.160704
380.0,1881,1289.964705
500.0,1841,1291.298703
480.0,2041,1293.287705
470.0,2401,1295.023704
430.0,2145,1297.149707
790.0,2521,1298.983705
480.0,1825,1300.757704
590.0,2505,1302.534705
510.0,2201,1304.413705
280.0,1649,1305.493704
550.0,2209,1307.409705
490.0,1961,1309.095703
730.0,2625,1311.222704
1210.0,3705,1314.265706
950.0,2657,1316.098704
290.0,1593,1317.547704
390.0,1825,1318.906703
510.0,1905,1320.575703
400.0,2449,1322.325704
440.0,1617,1323.911705
690.0,2449,1325.627704
430.0,2265,1327.703705
330.0,1433,1329.022706
620.0,2593,1331.193705
530.0,2681,1333.354707
730.0,3017,1335.384703
430.0,2057,1337.190703
490.0,2065,1338.783703
480.0,1945,1340.515706
860.0,3473,1343.219706
320.0,1609,1344.359704
430.0,2113,1345.869707
390.0,1809,1347.655704
390.0,2529,1349.973704
430.0,2081,1351.511704
500.0,2121,1353.331703
570.0,2321,1355.079706
720.0,2761,1357.750702
420.0,2385,1359.690704
250.0,1633,1361.440703
370.0,1817,1362.888703
500.0,2305,1365.040704
500.0,2497,1366.795703
510.0,1929,1368.730702
360.0,2545,1370.546704
710.0,2705,1372.855706
480.0,2337,1374.768704
760.0,2865,1376.871704
300.0,1673,1378.337704
490.0,2337,1380.101704
450.0,1753,1381.606706
830.0,2433,1383.254704
1520.0,3793,1386.460704
410.0,1497,1387.975703
360.0,1537,1389.192705
340.0,1649,1390.381703
920.0,3057,1393.136704
420.0,1817,1395.123704
750.0,2521,1397.081702
1410.0,3897,1400.217703
500.0,3137,1402.659703
600.0,3145,1405.193706
480.0,2777,1407.285706
400.0,2081,1409.199703
430.0,1889,1410.594703
500.0,2241,1412.414704
470.0,4073,1415.577703
350.0,1665,1416.837317
440.0,1713,1418.30759
470.0,2393,1420.15659
380.0,1905,1422.01159
1230.0,2513,1424.08759
580.0,2361,1426.386591
620.0,3049,1429.212591
470.0,1865,1430.72059
490.0,2057,1432.124592
520.0,2329,1434.115591
690.0,2689,1436.280591
380.0,1985,1437.619591
370.0,1713,1439.11759
220.0,1473,1440.093589
230.0,1593,1441.358589
440.0,2041,1443.191591
460.0,2137,1444.638591
380.0,1785,1446.390589
1260.0,3081,1449.098588
440.0,2289,1450.90859
790.0,2673,1453.419591
350.0,1793,1454.763593
520.0,2217,1456.693591
670.0,2529,1458.629589
1250.0,3121,1461.315588
780.0,2809,1463.714592
310.0,1385,1464.635593
300.0,1441,1465.627589
580.0,2457,1467.84659
420.0,2065,1469.590589
240.0,1425,1470.61659
1360.0,4665,1474.401589
460.0,1841,1475.741593
640.0,4297,1479.343589
320.0,1777,1480.944591
540.0,2265,1482.54559
760.0,3465,1485.555593
440.0,1817,1487.363593
360.0,1969,1488.90159
340.0,1649,1490.55159
350.0,1785,1491.76759
670.0,2273,1493.70659
320.0,1681,1494.87559
380.0,1857,1496.44259
