#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
460.0,1889,2394.046683
250.0,1553,2397.671536
470.0,1889,2402.186474
360.0,1737,2406.406268
340.0,2033,2411.316112
420.0,2065,2416.361979
620.0,3153,2423.655501
270.0,1313,2426.66449
880.0,3521,2434.931206
320.0,2161,2440.084087
450.0,2025,2444.988057
440.0,1881,2449.411827
250.0,1337,2452.577346
360.0,1441,2456.027247
670.0,2753,2462.576091
710.0,2497,2468.610631
460.0,1993,2473.34153
310.0,1681,2477.379434
860.0,3033,2484.706573
360.0,1569,2488.490565
750.0,2993,2495.617592
360.0,1817,2499.823068
600.0,2449,2505.725531
660.0,2657,2511.988631
1030.0,3321,2519.903921
580.0,1873,2524.322013
540.0,2585,2530.533203
490.0,2129,2535.666537
330.0,1601,2539.449304
420.0,2089,2544.80341
190.0,1481,2548.531323
760.0,3265,2556.263915
580.0,2401,2561.92957
390.0,2161,2566.945579
710.0,2537,2572.911242
960.0,2369,2578.549731
670.0,2329,2584.089034
600.0,2465,2590.005458
520.0,2089,2594.985121
480.0,2113,2599.976147
1060.0,2057,2604.857313
730.0,2457,2610.722817
2130.0,3225,2618.443756
620.0,2449,2624.342782
950.0,2889,2631.296089
970.0,3673,2639.571596
280.0,1729,2643.468704
340.0,1841,2647.6869
750.0,2761,2653.935212
430.0,1809,2658.026975
210.0,1521,2661.453049
640.0,2849,2667.917526
510.0,2353,2673.281901
590.0,2809,2679.686514
490.0,1889,2684.018869
480.0,1585,2687.598144
610.0,3105,2694.710371
380.0,1985,2699.163672
840.0,2697,2705.310817
1530.0,4017,2714.459335
1090.0,2849,2720.8916
1360.0,3033,2728.052897
580.0,2249,2733.356508
2260.0,3449,2741.18904
990.0,3161,2748.436749
690.0,2065,2753.090043
500.0,3649,2761.302995
630.0,2537,2767.028924
1830.0,4025,2776.086049
1220.0,3761,2784.716486
700.0,2369,2790.079638
970.0,3361,2797.868413
1430.0,2313,2803.064364
790.0,2633,2809.149003
750.0,3169,2816.312394
260.0,1809,2820.392462
990.0,3441,2828.244199
1270.0,2593,2834.125319
